#timestamp [ns],w_RS_S_x [rad s^-1],w_RS_S_y [rad s^-1],w_RS_S_z [rad s^-1],a_RS_S_x [m s^-2],a_RS_S_y [m s^-2],a_RS_S_z [m s^-2] 
1631512943.2033908,-0.053888,-0.051906,-0.000299,9.427000,1.053000,-1.445000
1631512943.3055806,-0.015383,-0.060707,-0.027144,9.439000,1.065000,-1.391000
1631512943.3974850,0.039425,-0.050947,-0.049323,9.430000,1.120000,-1.388000
1631512943.5366693,0.022070,-0.030947,-0.048895,9.422000,1.224000,-1.614000
1631512943.7165859,0.021139,0.063262,-0.016868,9.355000,1.269000,-1.619000
1631512943.7959692,-0.006506,0.065519,-0.015533,9.353000,1.277000,-1.622000
1631512943.8909283,0.020570,0.053116,-0.010402,9.362000,1.202000,-1.520000
1631512944.0040352,0.070425,0.055337,-0.021721,9.253000,1.303000,-1.788000
1631512944.1073251,0.042690,0.079035,0.005671,9.423000,1.291000,-1.411000
1631512944.2067432,0.011470,0.090641,0.028005,9.433000,1.269000,-1.341000
1631512944.2865114,0.020374,0.136983,0.043711,9.431000,1.139000,-1.190000
1631512944.4333711,-0.054887,0.154455,0.086916,9.402000,1.156000,-0.956000
1631512944.6140382,-0.100585,0.066894,0.049331,9.402000,0.908000,-0.722000
1631512944.6975484,-0.070753,0.006635,0.053922,9.446000,0.878000,-0.686000
1631512944.7895350,-0.044640,-0.037917,0.040962,9.439000,0.843000,-0.797000
1631512944.9290488,-0.014376,-0.086039,0.005707,9.444000,0.867000,-0.945000
1631512944.9987392,-0.034827,-0.088913,-0.021627,9.454000,0.932000,-0.970000
1631512945.0994399,-0.050383,-0.072535,-0.013991,9.488000,0.841000,-1.109000
1631512945.1910825,0.013493,-0.041522,-0.037644,9.490000,0.900000,-1.176000
1631512945.3127670,0.072913,-0.007606,-0.043918,9.534000,0.938000,-1.129000
1631512945.4034302,0.076973,0.025933,-0.025255,9.510000,1.035000,-1.052000
1631512945.5067799,0.046279,0.020345,-0.012479,9.468000,1.116000,-1.015000
1631512945.5922842,0.004203,0.000426,-0.014047,9.453000,1.085000,-0.961000
1631512945.7293260,0.004374,-0.042901,0.001079,9.445000,1.087000,-1.045000
1631512945.7975471,-0.001971,-0.045768,0.011952,9.447000,1.109000,-1.024000
1631512945.8956165,0.008015,-0.006620,0.010956,9.486000,1.034000,-1.033000
1631512945.9980330,-0.010667,0.052016,0.029607,9.526000,1.077000,-1.121000
1631512946.1226792,-0.028726,0.094132,0.050229,9.486000,1.052000,-0.940000
1631512946.2090065,-0.005391,0.075598,0.022960,9.478000,1.005000,-0.857000
1631512946.2877619,0.009511,0.067580,0.007066,9.470000,0.944000,-0.792000
1631512946.3955154,0.020871,0.041238,-0.000697,9.488000,0.985000,-0.795000
1631512946.5252717,-0.004964,0.000687,-0.003374,9.414000,0.930000,-0.839000
1631512946.6079843,-0.015948,-0.032165,-0.010231,9.448000,0.932000,-0.794000
1631512946.6929054,0.007174,-0.034076,0.003648,9.485000,0.913000,-0.841000
1631512946.8064318,0.037834,-0.033297,0.027037,9.519000,0.876000,-0.858000
1631512946.9259384,0.009605,-0.028793,0.025109,9.551000,0.963000,-0.808000
1631512947.0054963,-0.038515,-0.020510,-0.001682,9.509000,0.941000,-0.819000
1631512947.0940177,-0.064798,-0.011096,-0.011320,9.521000,0.908000,-0.790000
1631512947.1903517,-0.036920,-0.028268,-0.012552,9.427000,0.844000,-0.986000
1631512947.3086109,-0.031476,-0.047012,-0.011959,9.462000,0.908000,-1.076000
1631512947.3930809,-0.014958,-0.013313,0.004332,9.497000,0.872000,-1.049000
1631512947.5050447,0.005921,0.024156,0.026714,9.491000,0.887000,-0.976000
1631512947.5961576,-0.002960,0.039946,0.021513,9.458000,0.958000,-0.928000
1631512947.7094054,-0.027452,0.050988,0.004989,9.488000,0.862000,-0.992000
1631512947.7989528,-0.024849,0.027421,-0.013067,9.394000,0.870000,-1.043000
1631512947.8825290,-0.010200,-0.020325,-0.038975,9.452000,0.859000,-0.973000
1631512947.9952552,0.009414,-0.038902,-0.034619,9.465000,0.914000,-1.058000
1631512948.1134083,0.046367,-0.054675,-0.006692,9.437000,0.906000,-1.142000
1631512948.1914194,0.031415,-0.056977,0.012708,9.502000,0.988000,-1.020000
1631512948.3054416,-0.005316,0.002211,-0.010275,9.521000,1.008000,-0.928000
1631512948.3972840,-0.030151,0.005596,-0.030155,9.467000,1.028000,-0.981000
1631512948.5171123,-0.029767,-0.022533,-0.029113,9.483000,1.033000,-0.908000
1631512948.5964248,-0.016118,-0.012337,-0.039828,9.488000,1.077000,-0.981000
1631512948.7012033,0.001156,-0.010509,-0.040199,9.466000,1.145000,-0.966000
1631512948.7956939,-0.035325,0.013555,-0.035259,9.477000,1.270000,-1.099000
1631512948.8968265,-0.058669,0.029177,-0.015440,9.447000,1.216000,-1.052000
1631512948.9929123,-0.039361,0.033552,0.020644,9.423000,1.182000,-1.033000
1631512949.0877738,-0.010036,0.014432,0.041213,9.468000,1.112000,-0.985000
1631512949.1820273,0.022602,-0.001970,0.040244,9.439000,1.079000,-0.952000
1631512949.3265181,0.007349,-0.005700,0.025834,9.461000,1.067000,-0.994000
1631512949.4057922,-0.025662,0.013831,0.024810,9.453000,1.042000,-1.100000
1631512949.4905655,-0.031977,0.038095,0.024438,9.454000,0.931000,-1.030000
1631512949.5839286,-0.005745,0.047305,0.030083,9.450000,0.897000,-0.951000
1631512949.7203200,0.024732,-0.050313,0.032616,9.400000,0.893000,-0.881000
1631512949.7966602,0.015306,-0.075780,0.003367,9.512000,0.917000,-0.856000
1631512949.8962114,0.001259,-0.061678,-0.032889,9.466000,0.889000,-0.913000
1631512949.9914684,0.026576,-0.056568,-0.057450,9.451000,0.929000,-1.077000
1631512950.1116464,0.027964,-0.027420,-0.054007,9.491000,1.074000,-1.198000
1631512950.1995118,-0.010877,0.022883,-0.074155,9.458000,1.148000,-1.235000
1631512950.3069298,-0.054381,0.066420,-0.083415,9.455000,1.252000,-1.245000
1631512950.3912575,-0.077543,0.093954,-0.065608,9.426000,1.258000,-1.070000
1631512950.5236294,-0.046182,0.092162,-0.038880,9.421000,1.366000,-0.973000
1631512950.5919340,-0.040244,0.086447,-0.009673,9.414000,1.372000,-0.974000
1631512950.7054610,-0.037019,0.065600,0.024390,9.452000,1.377000,-0.818000
1631512950.7964275,-0.047260,0.061860,0.020894,9.460000,1.364000,-0.642000
